AGENTKEY	AGENTTYPE	AGENTNAME
1	Radiation	X-radiation
2	Hormone	pituitary isograft
3	Hormone	17beta-estradiol (E2)
6	Virus	MMTV - mouse mammary tumor virus
7	Chemical/Drug	7,12-dimethylbenz[a]anthracene (DMBA)
8	Radiation	gamma-radiation
9	Hormone	estrogen
10	Chemical/Drug	20-methylcholanthrene (MCA)
11	Hormone	bovine pituitary extract
12	Chemical/Drug	isoprene
13	Chemical/Drug	1,3-butadiene
14	Chemical/Drug	4-nitroquinoline-1-oxide (4NQO)
15	Chemical/Drug	N-methyl-N-nitrosourea (MNU)
16	Chemical/Drug	2-amino-3,4-dimethylmidazole[4,5-f]quinoline (MelQ)
17	Chemical/Drug	catechol
23	Hormone	estradiol benzoate
26	Hormone	progesterone
27	Radiation	ultraviolet radiation (UV)
28	Chemical/Drug	N-nitroso-N-methylurethane (NMU)
29	Chemical/Drug	1,2-dimethylhydrazine-di-HCl (DMH)
30	Chemical/Drug	9,10-dimethyl-1,2-benzanthracene (DMBA)
31	Chemical/Drug	urethane (ethyl carbamate)
32	Virus	MoMuLV - Moloney murine leukemia virus (M-MuLV)
33	Chemical/Drug	1-ethyl-1-nitrosourea (ENU)
34	Chemical/Drug	ethyl methanesulfonate (EMS)
35	Chemical/Drug	2,6-diaminopurine
36	Chemical/Drug	2-fluoroadenine
37	Chemical/Drug	6-thioguanine
38	Virus	NIV - nodule-inducing virus
39	Chemical/Drug	o-aminoazotoluene
40	Chemical/Drug	chloroform
41	Chemical/Drug	thiouracil
42	Radiation	Iodine-131
44	Chemical/Drug	triphenylethylene
45	Chemical/Drug	nitrogen mustard (HN2)
46	Chemical/Drug	sulfur mustard (B,B'-dichlorodiethylsulfide)
47	Chemical/Drug	3,4-benzopyrene (benzo[a]pyrene)
48	Hormone	ovarian implantation
49	Hormone	pregnant mare serum gonadotropin (PMSG)
50	Hormone	human chorionic gonadotropin (hCG)
52	Hormone	dehydroepiandrosterone (DHEA)
53	Hormone	testosterone
54	Hormone	dihydrotestosterone (DHT)
55	Hormone	androsterone
56	Chemical/Drug	12-O-tetradecanoylphorbol-13-acetate (TPA)
59	Hormone	diethylstilbestrol (DES)
60	Chemical/Drug	4-o-tolylazo-o-toluidine (2-amino-5-azotoluene)
61	Hormone	19-nor-progesterone
62	Chemical/Drug	triethylene melamine (TEM)
63	Chemical/Drug	1,4-dimethanesulfonoxybutane (myleran)
64	Hormone	male gonadal ridge implantation
65	Radiation	ionizing radiation
66	Hormone	cortisone
67	Virus	vaccinia virus
68	Virus	vaccinia virus - inactivated
70	Chemical/Drug	3-methylcholanthrene (MCA)
71	Chemical/Drug	vinyl chloride (chloroethylene)
72	Other	thymectomy
73	Chemical/Drug	mineral oil
74	Chemical/Drug	pristane (2,6,10,14-tetramethylpentadecane)
76	Chemical/Drug	methylcholanthrene (MCA)
77	Chemical/Drug	N-ethyl-N-nitrosourea (N-nitrosoethylurea) (ENU)
78	Chemical/Drug	1,2-dimethylhydrazine (DMH)
79	Radiation	radiation - unspecified type
80	Virus	Gross leukemia virus
81	Chemical/Drug	streptozotocin
82	Hormone	normal horse serum (NHS)
83	Hormone	estrone
84	Chemical/Drug	4-nitroquinoline-N-oxide
86	Chemical/Drug	4-(methylnitrosamino)-1-(3-pyridyl)-1-butanone (NNK)
87	Chemical/Drug	propylene glycol
88	Chemical/Drug	corn oil
89	Chemical/Drug	benzo[a]pyrene (BP) (BaP) (B[a]P)
90	Chemical/Drug	airborne particulate matter (APM)
91	Chemical/Drug	dibenzo[a,l]pyrene (DB[a,l]P)
92	Chemical/Drug	tricaprylin
93	Chemical/Drug	benzo[b]fluoranthene (B[b]F)
94	Chemical/Drug	cyclopental[c,d]pyrene (CPP)
95	Chemical/Drug	5-methylchrysene (5-MeC)
96	Chemical/Drug	theaflavins
97	Radiation	neutron-radiation
98	Chemical/Drug	black tea
99	Radiation	radon
100	Radiation	uranium ore dust
101	Chemical/Drug	environmental tobacco smoke (ETS)
102	Chemical/Drug	butylated hydroxytoluene (BHT)
103	Chemical/Drug	vinyl carbamate (VC)
104	Chemical/Drug	1-nitropyrene (1-NP)
105	Chemical/Drug	dimethyl sulfoxide (DMSO)
106	Chemical/Drug	crocidolite asbestos
107	Chemical/Drug	benzotrichloride (BTC)
108	Chemical/Drug	carbon disulfide
109	Chemical/Drug	1,2-dibromoethane
110	Chemical/Drug	ethylene oxide
111	Chemical/Drug	naphthalene
112	Chemical/Drug	nitrogen dioxide
114	Chemical/Drug	silica
115	Chemical/Drug	nickel subsulfide
116	Other	splenectomy
117	Virus	A-MuLV - Abelson murine leukemia virus (A-MuLV-P160)
118	Virus	Friend leukemia virus - "regressing" (RFV)
