REFKEY	TITLE	TITLE2	AUTHORS	AUTHORS2	JOURNAL	VOLUME	YEAR	PAGES	JNUM	PMID
2	Expression of murine leukemia viruses in B-cell lymphomas of CWD/Agl mice.		Angel JM; Bedigian HG		J Virol	52	1984	691-4	J:24875	6092692
3	A new mouse tumor model system (RIF-1) for comparison of end-point studies.		Twentyman PR; Brown JM; Gray JW; Franko AJ; Scoles MA; Kallman RF		J Natl Cancer Inst	64	1980	595-604	J:46449	6928244
4	Tumorigenesis in strain DW-J mice and induction by prolactin of the group-specific antigen of endogenous C-type RNA tumor virus.		Chen HW; Meier H; Heiniger HJ; Huebner RJ		J Natl Cancer Inst	49	1972	1145-54	J:46465	4117317
5	Pathology image and annotation source		Sundberg J		Personal Communication		1997		J:94307	 
7	Biological and chemotherapeutic studies on primary mammary tumors in C3H and C3HO mice.		Gelzer J; Loustalot P		Int J Cancer	2	1967	179-187	J:46441	6039767
9	Influence of mammary tumor virus on the tumor-producing capabilities of nodule outgrowth free of mammary tumor virus.		Medina D; DeOme KB		J Natl Cancer Inst	40	1968	1303-1308	J:46443	4298252
10	Response of hyperplastic alveolar nodule outgrowth-line D1 to mammary tumor virus, nodule-inducing virus, and prolonged hormonal stimulation acting singly and in combination.		Medina D; DeOme KB		J Natl Cancer Inst	42	1969	303-310	J:46444	4303882
11	Carcinogen-induce mammary tumors from preneoplastic nodule outgrowths in BALB/c mice		Medina D; DeOme KB		Cancer Res	30	1970	1055-1059	J:46445	5504348
13	Heterogeneity of tumor cells from a single mouse mammary tumor.		Dexter DL; Kowalski HM; Blazar BA; Fligiel Z; Vogel R; Heppner GH		Cancer Res	38	1978	3174-81	J:46447	210930
14	Heterogeneity in drug sensitivity among tumor cell subpopulations of a single mammary tumor.		Heppner GH; Dexter DL; DeNucci T; Miller FR; Calabresi P		Cancer Res	38	1978	3758-63	J:46448	698935
18	TS/A: a new metastasizing cell line from a BALB/c spontaneous mammary adenocarcinoma.		Nanni P; de Giovanni C; Lollini PL; Nicoletti G; Prodi G		Clin Exp Metastasis	1	1983	373-80	J:46453	6546207
19	Coexpression of MMTV/v-Ha-ras and MMTV/c-myc genes in transgenic mice: synergistic action of oncogenes in vivo.		Sinn E; Muller W; Pattengale P; Tepler I; Wallace R; Leder P		Cell	49	1987	465-75	J:46454	3032456
20	Driven by the same Ig enhancer and SV40 T promoter ras induced lung adenomatous tumors, myc induced pre-B cell lymphomas and SV40 large T gene a variety of tumors in transgenic mice.		Suda Y; Aizawa S; Hirai S; Inoue T; Furuta Y; Suzuki M; Hirohashi S; Ikawa Y		EMBO J	6	1987	4055-65	J:46455	2832150
21	Transgenic mice carrying the mouse mammary tumor virus ras fusion gene: distinct effects in various tissues.		Tremblay PJ; Pothier F; Hoang T; Tremblay G; Brownstein S; Liszauer A; Jolicoeur P		Mol Cell Biol	9	1989	854-9	J:46456	2540427
23	Histopathology of salivary and mammary gland tumors in transgenic mice expressing a human Ha-ras oncogene.		Nielsen LL; Discafani CM; Gurnani M; Tyler RD		Cancer Res	51	1991	3762-7	J:46458	2065330
25	Induction of mammary tumors by expression of polyomavirus middle T oncogene: a transgenic mouse model for metastatic disease.		Guy CT; Cardiff RD; Muller WJ		Mol Cell Biol	12	1992	954-61	J:46460	1312220
26	Evaluation of the wap-ras transgenic mouse as a model system for testing anticancer drugs.		Nielsen LL; Gurnani M; Tyler RD		Cancer Res	52	1992	3733-8	J:46461	1617645
27	Immortalization phenotype dissociated from the preneoplastic phenotype in mouse mammary epithelial outgrowths in vivo.		Medina D; Kittrell FS		Carcinogenesis	14	1993	25-8	J:46462	8425268
28	Development of a nude mouse model of ras-mediated neoplasia using WR21 cells from a transgenic mouse salivary tumor.		Nielsen LL; Gurnani M; Porter G; Trexler S; Emerson D; Tyler RD		In Vivo	8	1994	295-302	J:46463	7803707
